transaction_id,account_id,booking_date,amount,currency,direction,counterparty,source_system
TX-00001,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0001,AlpineBank Legacy Finance
TX-00002,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0002,AlpineBank Legacy Finance
TX-00003,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0003,AlpineBank Legacy Finance
TX-00004,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0004,AlpineBank Legacy Finance
TX-00005,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0005,AlpineBank Legacy Finance
TX-00006,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0006,AlpineBank Legacy Finance
TX-00007,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0007,AlpineBank Legacy Finance
TX-00008,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0008,AlpineBank Legacy Finance
TX-00009,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0009,AlpineBank Legacy Finance
TX-00010,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0010,AlpineBank Legacy Finance
TX-00011,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0011,AlpineBank Legacy Finance
TX-00012,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0012,AlpineBank Legacy Finance
TX-00013,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0013,AlpineBank Legacy Finance
TX-00014,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0014,AlpineBank Legacy Finance
TX-00015,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0015,AlpineBank Legacy Finance
TX-00016,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0016,AlpineBank Legacy Finance
TX-00017,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0017,AlpineBank Legacy Finance
TX-00018,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0018,AlpineBank Legacy Finance
TX-00019,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0019,AlpineBank Legacy Finance
TX-00020,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0020,AlpineBank Legacy Finance
TX-00021,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0021,AlpineBank Legacy Finance
TX-00022,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0022,AlpineBank Legacy Finance
TX-00023,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0023,AlpineBank Legacy Finance
TX-00024,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0024,AlpineBank Legacy Finance
TX-00025,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0025,AlpineBank Legacy Finance
TX-00026,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0026,AlpineBank Legacy Finance
TX-00027,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0027,AlpineBank Legacy Finance
TX-00028,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0028,AlpineBank Legacy Finance
TX-00029,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0029,AlpineBank Legacy Finance
TX-00030,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0030,AlpineBank Legacy Finance
TX-00031,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0031,AlpineBank Legacy Finance
TX-00032,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0032,AlpineBank Legacy Finance
TX-00033,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0033,AlpineBank Legacy Finance
TX-00034,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0034,AlpineBank Legacy Finance
TX-00035,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0035,AlpineBank Legacy Finance
TX-00036,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0036,AlpineBank Legacy Finance
TX-00037,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0037,AlpineBank Legacy Finance
TX-00038,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0038,AlpineBank Legacy Finance
TX-00039,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0039,AlpineBank Legacy Finance
TX-00040,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0040,AlpineBank Legacy Finance
TX-00041,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0041,AlpineBank Legacy Finance
